cod_ref	bib_ref	distigme_sampled	bar_sampled	background_sampled	distigme	distigme_loc	bar	bar_tot_length	bar_prot_length	gap	gap_loc	gap_length	trail	trail_length	high_dot	par_break	verse_break	Swan.ECM_avail	var_in_line	var_type	var_ref	notes
1477.C.22	2 Cor. 1:11	1		0	1	R	0			0			0		0	0	0	0	1	R1/MC	NA28.555	
1477.C.4	2 Cor. 1:8	1		0	1	R	0			0			0		1	0	0	0	1	A1	NA28.555	
1477.C.42	2 Cor. 1:14			1	0		0			0			0		0	0	0	0	0			
1478.B.27	2 Cor. 2:4-5	1		0	1	L	0			0			0		1	1	1	0	0			
1478.B.7	2 Cor. 1:24-2:1	1		0	1	L	0			0			0		1	M	1	0	1	R1	NA28.557	
1478.C.27	2 Cor. 2:15			1	0		0			0			0		0	0	0	0	0			
1478.C.34	2 Cor. 2:17	1		0	1	L	0			0			0		0	0	0	0	1	R1	NA28.558	
1478.C.9	2 Cor. 2:11		0	1	0		1	4	3	0			0		1	1	0	0	0			
1479.A.12	2 Cor. 3:3	1		0	1	L	0			0			0		0	0	0	0	1	O1	NA28.558	
1479.C.34	2 Cor. 4:4	1		0	1	R	0			0			0		0	0	0	0	0			
1480.A.2	2 Cor. 4:6		1	0	0		1	3.5	2	0			0		0	1	0	0	1	R2;A1	NA28.561	
1480.A.8	2 Cor. 4:7-8			1	0		0			0			0		1	0	1	0	0			
1480.B.20	2 Cor. 5:1			1	0		0			0			0		0	0	0	0	0			
1480.C.39	2 Cor. 5:14			1	0		0			0			0		0	0	0	0	0			
1481.B.24	2 Cor. 6:7			1	0		0			0			0		0	0	0	0	0			
1481.B.30	2 Cor. 6:9			1	0		0			0			0		1	0	0	0	0			
1481.B.6	2 Cor. 6:3	1		0	1	L	0			0			0		0	0	0	0				unclear variant - letters omitted from a word but added above the line
1481.C.8	2 Cor. 6:14			1	0		0			0			0		1	0	0	0	0			
1482.A.31	2 Cor. 7:7			1	0		0			0			0		1	0	0	0	0			
1482.A.9	2 Cor. 7:4			1	0		0			0			0		1	0	0	0	0			
1482.B.3	2 Cor. 7:9-10			1	0		0			0			0		1	0	1	0	0			
1482.B.42	2 Cor. 7:14			1	0		0			0			0		0	0	0	0	1	R1	NA28.566	
1482.C.10	2 Cor. 7:16	1		0	1	R;L	0			0			0		0	0	0	0	0			
1482.C.34	2 Cor. 8:5-6			1	0		0			0			0		0	0	1	0	0			
1482.C.38	2 Cor. 8:6			1	0		0			0			0		0	0	0	0	0			
